JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -2.600745330322259E+07,  1.326237828764555E+08,  5.752511716959091E+07, -2.983800155786667E+01, -4.724379075830139E+00, -2.047849455589723E+00,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -2.858146059706810E+07,  1.321949173052771E+08,  5.733921875345501E+07, -2.974395423092470E+01, -5.202811192923472E+00, -2.255244738687942E+00,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -3.114694182467662E+07,  1.317247831594604E+08,  5.713543084225122E+07, -2.964064417962544E+01, -5.679644122225096E+00, -2.461946852527844E+00,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -3.370309809941816E+07,  1.312135253483522E+08,  5.691381624733942E+07, -2.952810465913264E+01, -6.154721954288777E+00, -2.667888211384615E+00,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -3.624913355093448E+07,  1.306613022255556E+08,  5.667444360809004E+07, -2.940637223316979E+01, -6.627889399536045E+00, -2.873001497954732E+00,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -3.878425561039517E+07,  1.300682855326329E+08,  5.641738736749776E+07, -2.927548675971708E+01, -7.098991851574493E+00, -3.077219690968504E+00,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -4.130767529442969E+07,  1.294346603373661E+08,  5.614272774542017E+07, -2.913549137464436E+01, -7.567875449904478E+00, -3.280476092561284E+00,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -4.381860748755227E+07,  1.287606249666195E+08,  5.585055070946048E+07, -2.898643247317675E+01, -8.034387142168931E+00, -3.482704355445934E+00,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -4.631627122288819E+07,  1.280463909338361E+08,  5.554094794350875E+07, -2.882835968909182E+01, -8.498374746176793E+00, -3.683838509955467E+00,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -4.879988996100228E+07,  1.272921828611745E+08,  5.521401681394885E+07, -2.866132587159031E+01, -8.959687012009555E+00, -3.883812991054143E+00,
