JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  5.213788684191694E+08,  5.313921173350976E+08, -1.386927161426872E+07, -9.472749551232376E+00,  9.769723278798496E+00,  1.713482687627850E-01,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  5.205599002372793E+08,  5.322355112987501E+08, -1.385445156843925E+07, -9.484869792865817E+00,  9.754713273326827E+00,  1.717577052683041E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  5.197397157889140E+08,  5.330777137839637E+08, -1.383959512795293E+07, -9.500467293532052E+00,  9.739614816154639E+00,  1.721081697263580E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  5.189183365238033E+08,  5.339185997166529E+08, -1.382470657377911E+07, -9.513822388743471E+00,  9.726086316166503E+00,  1.725490357971959E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000,  5.180956638150481E+08,  5.347582521707257E+08, -1.380978389883018E+07, -9.528364357417821E+00,  9.710071102699368E+00,  1.728923953842938E-01,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000,  5.172718286931893E+08,  5.355966704804903E+08, -1.379482498030707E+07, -9.543316016290118E+00,  9.697586569361610E+00,  1.733503867017028E-01,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000,  5.164466037427610E+08,  5.364338156134177E+08, -1.377983511796150E+07, -9.558032324845538E+00,  9.681108005285001E+00,  1.736643953001686E-01,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000,  5.156201285218362E+08,  5.372696491746931E+08, -1.376481380337337E+07, -9.573787555941195E+00,  9.665868736378178E+00,  1.740097581605315E-01,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000,  5.147924309698223E+08,  5.381040339298183E+08, -1.374976507956785E+07, -9.585523503779966E+00,  9.650004026036521E+00,  1.743946873532969E-01,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000,  5.139635826586637E+08,  5.389372006457589E+08, -1.373467994608977E+07, -9.600678988590925E+00,  9.635104590437749E+00,  1.747581272396013E-01,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000,  5.131335686111162E+08,  5.397690313257080E+08, -1.371956307339364E+07, -9.613258316225611E+00,  9.621216253897916E+00,  1.751955896895749E-01,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000,  5.123023134253828E+08,  5.405996431569762E+08, -1.370441099663049E+07, -9.627727414347870E+00,  9.605380915543931E+00,  1.755442650168937E-01,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000,  5.114699328747275E+08,  5.414290073188944E+08, -1.368922273609257E+07, -9.641774272669426E+00,  9.593069728008976E+00,  1.760206581449046E-01,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000,  5.106361904454995E+08,  5.422571444938636E+08, -1.367400158899546E+07, -9.656680219878908E+00,  9.576806088557355E+00,  1.763379694078298E-01,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  5.098012121569772E+08,  5.430839816494457E+08, -1.365874854250598E+07, -9.672237915419597E+00,  9.562102529385454E+00,  1.767028570732161E-01,
