JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -4.507776377907523E+07, -2.175196919117816E+08, -3.441546040035352E+06,  2.467035556744491E+01, -2.734379283528958E+00, -6.620610977463190E-01,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -4.294427510305776E+07, -2.177460352607840E+08, -3.498588823749572E+06,  2.471560029241350E+01, -2.504911625105045E+00, -6.583620589977026E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -4.080696979529452E+07, -2.179525169988044E+08, -3.555308996103063E+06,  2.475870089891582E+01, -2.274622994716797E+00, -6.545932322086735E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -3.866603377921928E+07, -2.181390670230631E+08, -3.611700527469248E+06,  2.479964190891271E+01, -2.043532640058483E+00, -6.507546430252755E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -3.652165431023643E+07, -2.183056169079006E+08, -3.667757390690073E+06,  2.483840795881612E+01, -1.811660111135144E+00, -6.468463160304876E-01,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -3.437401996358193E+07, -2.184520999307474E+08, -3.723473561939031E+06,  2.487498382182502E+01, -1.579025267803158E+00, -6.428682834740040E-01,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -3.222332062178941E+07, -2.185784510981611E+08, -3.778843021555066E+06,  2.490935443305886E+01, -1.345648281005019E+00, -6.388205947466599E-01,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -3.006974746166169E+07, -2.186846071717020E+08, -3.833859754872337E+06,  2.494150489794147E+01, -1.111549630139743E+00, -6.347033175905334E-01,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -2.791349294059333E+07, -2.187705066936986E+08, -3.888517753114372E+06,  2.497142048972340E+01, -8.767500930128305E-01, -6.305165335752368E-01,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -2.575475078227747E+07, -2.188360900131014E+08, -3.942811014350936E+06,  2.499908664797477E+01, -6.412707301010780E-01, -6.262603333298732E-01,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -2.359371596199827E+07, -2.188812993114729E+08, -3.996733544428095E+06,  2.502448897894635E+01, -4.051328801242666E-01, -6.219348132104923E-01,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -2.143058469159383E+07, -2.189060786289594E+08, -4.050279357819945E+06,  2.504761325665586E+01, -1.683581791434191E-01, -6.175400742891846E-01,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -1.926555440390388E+07, -2.189103738901391E+08, -4.103442478477687E+06,  2.506844543050975E+01,  6.903141635616261E-02, -6.130762253154001E-01,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000, -1.709882373648924E+07, -2.188941329298214E+08, -4.156216940777421E+06,  2.508697163921161E+01,  3.070136302465666E-01, -6.085433869609626E-01,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000, -1.493059251467986E+07, -2.188573055189282E+08, -4.208596790549666E+06,  2.510317822615247E+01,  5.455658848209306E-01, -6.039416950210761E-01,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000, -1.276106173416307E+07, -2.187998433904139E+08, -4.260576086089581E+06,  2.511705175360069E+01,  7.846653136200374E-01, -5.992713030859743E-01,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000, -1.059043354316705E+07, -2.187217002650167E+08, -4.312148899105489E+06,  2.512857900803584E+01,  1.024288763696569E+00, -5.945323818246999E-01,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000, -8.418911224084277E+06, -2.186228318767418E+08, -4.363309315665454E+06,  2.513774699083788E+01,  1.264412795570113E+00, -5.897251116445148E-01,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000, -6.246699174426869E+06, -2.185031959982485E+08, -4.414051437201649E+06,  2.514454290620006E+01,  1.505013680667563E+00, -5.848496742871713E-01,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000, -4.074002887198595E+06, -2.183627524663501E+08, -4.464369381550610E+06,  2.514895416920234E+01,  1.746067392381215E+00, -5.799062545143530E-01,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000, -1.901028930802228E+06, -2.182014632075582E+08, -4.514257283972815E+06,  2.515096843295421E+01,  1.987549598494247E+00, -5.748950507779730E-01,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000,  2.720150715569875E+05, -2.180192922634000E+08, -4.563709298148990E+06,  2.515057360869846E+01,  2.229435661558402E+00, -5.698162819692667E-01,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000,  2.444920463136600E+06, -2.178162058154087E+08, -4.612719597216874E+06,  2.514775786890494E+01,  2.471700647783538E+00, -5.646701854659648E-01,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000,  4.617477575649046E+06, -2.175921722099555E+08, -4.661282374885440E+06,  2.514250964636471E+01,  2.714319343783232E+00, -5.594570125429790E-01,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000,  6.789475751824958E+06, -2.173471619830571E+08, -4.709391846566483E+06,  2.513481763704016E+01,  2.957266271981425E+00, -5.541770253561730E-01,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  8.960703368370883E+06, -2.170811478850630E+08, -4.757042250435591E+06,  2.512467080106329E+01,  3.200515688073890E+00, -5.488304942990986E-01,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000,  1.113094785937864E+07, -2.167941049050530E+08, -4.804227848436207E+06,  2.511205836238262E+01,  3.444041559593051E+00, -5.434176965477089E-01,
2460337.500000000, A.D. 2024-Jan-28 00:00:00.0000,  1.329999574042282E+07, -2.164860102949649E+08, -4.850942927335903E+06,  2.509696981751048E+01,  3.687817551979114E+00, -5.379389188155590E-01,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000,  1.546763263343232E+07, -2.161568435935976E+08, -4.897181799886435E+06,  2.507939495332775E+01,  3.931817039879755E+00, -5.323944623723398E-01,
2460339.500000000, A.D. 2024-Jan-30 00:00:00.0000,  1.763364329216341E+07, -2.158065866505266E+08, -4.942938806012273E+06,  2.505932386553576E+01,  4.176013126489332E+00, -5.267846473023259E-01,
2460340.500000000, A.D. 2024-Jan-31 00:00:00.0000,  1.979781162811276E+07, -2.154352236497556E+08, -4.988208313942015E+06,  2.503674697057798E+01,  4.420378652469151E+00, -5.211098143290269E-01,
2460341.500000000, A.D. 2024-Feb-01 00:00:00.0000,  2.195992073694892E+07, -2.150427411329233E+08, -5.032984721302703E+06,  2.501165500451321E+01,  4.664886198914463E+00, -5.153703210785434E-01,
2460342.500000000, A.D. 2024-Feb-02 00:00:00.0000,  2.411975292562447E+07, -2.146291280221140E+08, -5.077262456254870E+06,  2.498403901117518E+01,  4.909508092522513E+00, -5.095665332006256E-01,
2460343.500000000, A.D. 2024-Feb-03 00:00:00.0000,  2.627708974014906E+07, -2.141943756425009E+08, -5.121035978675619E+06,  2.495389033641805E+01,  5.154216405599997E+00, -5.036988187242903E-01,
2460344.500000000, A.D. 2024-Feb-04 00:00:00.0000,  2.843171199386819E+07, -2.137384777449039E+08, -5.164299781330496E+06,  2.492120064447021E+01,  5.398982946286557E+00, -4.977675536982309E-01,
2460345.500000000, A.D. 2024-Feb-05 00:00:00.0000,  3.058339979621033E+07, -2.132614305280573E+08, -5.207048391005382E+06,  2.488596194447519E+01,  5.643779251987052E+00, -4.917731325664196E-01,
2460346.500000000, A.D. 2024-Feb-06 00:00:00.0000,  3.273193258204959E+07, -2.127632326603676E+08, -5.249276369648814E+06,  2.484816660353846E+01,  5.888576595506049E+00, -4.857159712806531E-01,
2460347.500000000, A.D. 2024-Feb-07 00:00:00.0000,  3.487708914181302E+07, -2.122438853012165E+08, -5.290978315587088E+06,  2.480780734733424E+01,  6.133346002217191E+00, -4.795965036339840E-01,
2460348.500000000, A.D. 2024-Feb-08 00:00:00.0000,  3.701864765225172E+07, -2.117033921219987E+08, -5.332148864790916E+06,  2.476487726268154E+01,  6.378058270749773E+00, -4.734151780243245E-01,
2460349.500000000, A.D. 2024-Feb-09 00:00:00.0000,  3.915638570766823E+07, -2.111417593268939E+08, -5.372782692101911E+06,  2.471936980211247E+01,  6.622683984530322E+00, -4.671724556358350E-01,
2460350.500000000, A.D. 2024-Feb-10 00:00:00.0000,  4.129008035153019E+07, -2.105589956731852E+08, -5.412874512375623E+06,  2.467127878173933E+01,  6.867193503816431E+00, -4.608688070627940E-01,
2460351.500000000, A.D. 2024-Feb-11 00:00:00.0000,  4.341950810864077E+07, -2.099551124910464E+08, -5.452419081613868E+06,  2.462059837937193E+01,  7.111556947574614E+00, -4.545047103014421E-01,
2460352.500000000, A.D. 2024-Feb-12 00:00:00.0000,  4.554444501804542E+07, -2.093301237029396E+08, -5.491411198182568E+06,  2.456732314674552E+01,  7.355744191034248E+00, -4.480806545000120E-01,
2460353.500000000, A.D. 2024-Feb-13 00:00:00.0000,  4.766466666661253E+07, -2.086840458427384E+08, -5.529845704099059E+06,  2.451144803135366E+01,  7.599724884011207E+00, -4.415971464231281E-01,
2460354.500000000, A.D. 2024-Feb-14 00:00:00.0000,  4.977994822308078E+07, -2.080168980744682E+08, -5.567717486290693E+06,  2.445296839413307E+01,  7.843468468311887E+00, -4.350547147150690E-01,
2460355.500000000, A.D. 2024-Feb-15 00:00:00.0000,  5.189006447253383E+07, -2.073287022104397E+08, -5.605021477791294E+06,  2.439188001504483E+01,  8.086944184975998E+00, -4.284539092925463E-01,
2460356.500000000, A.D. 2024-Feb-16 00:00:00.0000,  5.399478985145997E+07, -2.066194827287061E+08, -5.641752658943474E+06,  2.432817908583803E+01,  8.330121082134680E+00, -4.217952948483639E-01,
2460357.500000000, A.D. 2024-Feb-17 00:00:00.0000,  5.609389848346749E+07, -2.058892667900244E+08, -5.677906058654621E+06,  2.426186219909884E+01,  8.572968025401154E+00, -4.150794423964945E-01,
2460358.500000000, A.D. 2024-Feb-18 00:00:00.0000,  5.818716421551328E+07, -2.051380842544921E+08, -5.713476755659685E+06,  2.419292634953640E+01,  8.815453697254346E+00, -4.083069273713407E-01,
2460359.500000000, A.D. 2024-Feb-19 00:00:00.0000,  6.027436065450994E+07, -2.043659676977875E+08, -5.748459879730448E+06,  2.412136895412475E+01,  9.057546585654686E+00, -4.014783376590696E-01,
2460360.500000000, A.D. 2024-Feb-20 00:00:00.0000,  6.235526120440019E+07, -2.035729524267677E+08, -5.782850612859040E+06,  2.404718787340865E+01,  9.299214981887092E+00, -3.945942817460004E-01,
