JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -4.065968745672874E+07,  3.052425046386212E+07,  6.182764855902467E+06, -4.021902732699007E+01, -3.612016838658650E+01,  7.251826729065840E-01,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -4.399328101066449E+07,  2.728085252259088E+07,  6.223703148149827E+06, -3.691381599981791E+01, -3.890407914961496E+01,  2.237943730544441E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -4.703301728854379E+07,  2.381121796869311E+07,  6.221696919142807E+06, -3.342191679636418E+01, -4.135496930924953E+01, -2.685511432454017E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -4.976411616656655E+07,  2.014465705807108E+07,  6.177619949180870E+06, -2.977479041510932E+01, -4.346066810894254E+01, -7.496952343898418E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -5.217457969606723E+07,  1.631145622204930E+07,  6.092538802380123E+06, -2.600545935052719E+01, -4.521083362545644E+01, -1.217316560336023E+00,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -5.425534454348529E+07,  1.234269438050182E+07,  5.967730577081744E+06, -2.214886958229885E+01, -4.659758872115177E+01, -1.668855195910378E+00,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -5.600045331894507E+07,  8.269995182687991E+06,  5.804704677410252E+06, -1.824195480321718E+01, -4.761634850951089E+01, -2.101495751154783E+00,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -5.740721679929195E+07,  4.125203910609278E+06,  5.605223513749028E+06, -1.432335746469456E+01, -4.826671565610503E+01, -2.512208378640015E+00,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -5.847633697578201E+07, -6.001137051772117E+04,  5.371317375146261E+06, -1.043280378536682E+01, -4.855331831001705E+01, -2.897841218701153E+00,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -5.921196230251542E+07, -4.254624396145300E+06,  5.105289460747508E+06, -6.610168037915149E+00, -4.848647613805559E+01, -3.255253718070364E+00,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -5.962165097564655E+07, -8.428761913230963E+06,  4.809708101945843E+06, -2.894292596314584E+00, -4.808259990426298E+01, -3.581477419597455E+00,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -5.971622486724722E+07, -1.255423534478980E+07,  4.487384441860642E+06,  6.783469278846816E-01, -4.736425643113139E+01, -3.873889245332656E+00,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -5.950950512321289E+07, -1.660506212948594E+07,  4.141335157535813E+06,  4.075028176902651E+00, -4.635986090996625E+01, -4.130381914816276E+00,
