JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -2.637093499608123E+07,  1.327648230502377E+08,  5.761337388984415E+07, -3.024279048864922E+01, -5.494701852227165E+00, -2.445635834561632E+00,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -2.897139026470402E+07,  1.322667807534219E+08,  5.739139509546109E+07, -2.994907888927868E+01, -6.027791922071167E+00, -2.689506839815635E+00,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -3.154557730487412E+07,  1.317243288452074E+08,  5.714920729798874E+07, -2.963597899653774E+01, -6.522423496483921E+00, -2.913244171957396E+00,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -3.409214791605812E+07,  1.311408531859589E+08,  5.688859509768950E+07, -2.931110353647207E+01, -6.977242002472716E+00, -3.115860558320423E+00,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -3.661042706793722E+07,  1.305198292003870E+08,  5.661141396038596E+07, -2.898246886238208E+01, -7.391539238401725E+00, -3.296706934034467E+00,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -3.910045987724590E+07,  1.298647601147396E+08,  5.631955822966338E+07, -2.865877181170691E+01, -7.765428468429929E+00, -3.455557025960881E+00,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -4.156307968194555E+07,  1.291790898622331E+08,  5.601491626866087E+07, -2.834957693694396E+01, -8.100257947678012E+00, -3.592822732035413E+00,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -4.399998251678956E+07,  1.284660702769960E+08,  5.569930131047731E+07, -2.806524588360103E+01, -8.399246958194119E+00, -3.709897517894770E+00,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -4.641377722886572E+07,  1.277285671057159E+08,  5.537434868224968E+07, -2.781641132909604E+01, -8.668237937159468E+00, -3.809577445165215E+00,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -4.880796439592865E+07,  1.269688042578393E+08,  5.504137751347248E+07, -2.761283876749659E+01, -8.916320621080136E+00, -3.896434163238573E+00,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -5.118679029753137E+07,  1.261880729429968E+08,  5.470122941693435E+07, -2.746170061220776E+01, -9.155951253003973E+00, -3.976936733759381E+00,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -5.355493786182302E+07,  1.253864665290799E+08,  5.435411550841848E+07, -2.736561986693265E+01, -9.402187119283710E+00, -4.059106374051381E+00,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -5.591706284130830E+07,  1.245627256909722E+08,  5.399951744225818E+07, -2.732117672877562E+01, -9.670915503287027E+00, -4.151615697507627E+00,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000, -5.827724848620283E+07,  1.237142686840358E+08,  5.363618512158316E+07, -2.731861673562143E+01, -9.976443952703850E+00, -4.262504283476711E+00,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000, -6.063850038412558E+07,  1.228374298215455E+08,  5.326224760890604E+07, -2.734306587478144E+01, -1.032923723232747E+01, -4.397921717606490E+00,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000, -6.300239945856974E+07,  1.219278579388980E+08,  5.287541537103178E+07, -2.737685710547492E+01, -1.073457759797326E+01, -4.561328407520090E+00,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000, -6.536897344551160E+07,  1.209809773996092E+08,  5.247322360543556E+07, -2.740210710539946E+01, -1.119245677817004E+01, -4.753349057151860E+00,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000, -6.773677209009242E+07,  1.199924129650726E+08,  5.205326317071308E+07, -2.740275578400834E+01, -1.169844190042202E+01, -4.972167368023619E+00,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000, -7.010308128010002E+07,  1.189583171198036E+08,  5.161336393371580E+07, -2.736572811234204E+01, -1.224497436311943E+01, -5.214183315810649E+00,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000, -7.246420206421758E+07,  1.178755842446227E+08,  5.115171960335919E+07, -2.728131545712619E+01, -1.282262983373337E+01, -5.474676542003800E+00,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000, -7.481573951319696E+07,  1.167419669093538E+08,  5.066696033736088E+07, -2.714307539633128E+01, -1.342110545637093E+01, -5.748340150192319E+00,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000, -7.715287259758556E+07,  1.155561199939272E+08,  5.015818590411700E+07, -2.694753062076862E+01, -1.402991165866407E+01, -6.029663168758827E+00,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000, -7.947059573285110E+07,  1.143175949890978E+08,  4.962497104957929E+07, -2.669383095256106E+01, -1.463885032025359E+01, -6.313199876398797E+00,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000, -8.176393166135214E+07,  1.130267987835352E+08,  4.906735071902517E+07, -2.638342911961757E+01, -1.523837169625109E+01, -6.593773715572985E+00,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000, -8.402811649950898E+07,  1.116849247128494E+08,  4.848578933067059E+07, -2.601975570589111E+01, -1.581986459410121E+01, -6.866645383864904E+00,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000, -8.625875560952282E+07,  1.102938609744261E+08,  4.788113680343052E+07, -2.560786523790558E+01, -1.637588841131291E+01, -7.127650536197274E+00,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000, -8.845194728741942E+07,  1.088560821905640E+08,  4.725457435878468E+07, -2.515404672555240E+01, -1.690032676657890E+01, -7.373296358877184E+00,
