JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  4.464871078455515E+09, -2.673653425850672E+08, -9.740096232740358E+07, -1.279753161444620E+00,  6.688664386713660E+00,  1.117372948834117E-01,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  4.464748914815051E+09, -2.668052950257002E+08, -9.739043685837461E+07, -1.530773234062676E+00,  6.265050388274039E+00,  1.294457730717262E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  4.464609749280026E+09, -2.662841410356679E+08, -9.737903114822873E+07, -1.671309821593773E+00,  5.792953781857479E+00,  1.320098966278658E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  4.464463547113720E+09, -2.658048409260134E+08, -9.736806696899654E+07, -1.692831901633659E+00,  5.301164368361309E+00,  1.192782274408961E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000,  4.464320699322655E+09, -2.653678026560968E+08, -9.735883874561776E+07, -1.594065714326812E+00,  4.819672499678191E+00,  9.203200170269765E-02,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000,  4.464191389034369E+09, -2.649708569781246E+08, -9.735253462724778E+07, -1.381072431394987E+00,  4.377840393253860E+00,  5.193749345494458E-02,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000,  4.464084970550729E+09, -2.646093897289278E+08, -9.735016403881042E+07, -1.066878571875075E+00,  4.002611747579214E+00,  1.444412244931303E-03,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000,  4.464009398939514E+09, -2.642766232023959E+08, -9.735249613040021E+07, -6.706817002548453E-01,  3.716868828745571E+00, -5.636346982556106E-02,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000,  4.463970744945356E+09, -2.639640294456674E+08, -9.736001287762977E+07, -2.166798401795109E-01,  3.538037206013472E+00, -1.179563535250758E-01,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000,  4.463972824798759E+09, -2.636618502780135E+08, -9.737287969266748E+07,  2.674040188374710E-01,  3.477023213771345E+00, -1.795736447799199E-01,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000,  4.464016967495854E+09, -2.633596923238531E+08, -9.739093533798066E+07,  7.520123523164167E-01,  3.537548928984621E+00, -2.374532598634274E-01,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000,  4.464101939273672E+09, -2.630471628221072E+08, -9.741370816882329E+07,  1.207684577978539E+00,  3.715879315439417E+00, -2.882090026299107E-01,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000,  4.464224013990703E+09, -2.627145009373485E+08, -9.744043872605705E+07,  1.606480194875465E+00,  4.001193476363330E+00, -3.285995877555665E-01,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000,  4.464377194949085E+09, -2.623531712522831E+08, -9.747012008858791E+07,  1.924049680539405E+00,  4.376092878014209E+00, -3.561661114061969E-01,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  4.464553585908441E+09, -2.619563864892329E+08, -9.750156574166964E+07,  2.140996470135010E+00,  4.817716745657253E+00, -3.692314712407943E-01,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000,  4.464743872576597E+09, -2.615195213447173E+08, -9.753348191211765E+07,  2.244059677179256E+00,  5.299136017219428E+00, -3.670026290564887E-01,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000,  4.464937890567147E+09, -2.610403944959647E+08, -9.756454644369225E+07,  2.226922686438349E+00,  5.790995364000405E+00, -3.496189669238521E-01,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000,  4.465125245192142E+09, -2.605194015837779E+08, -9.759348940316051E+07,  2.090598314398529E+00,  6.263303154911625E+00, -3.181437882581362E-01,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000,  4.465295945297602E+09, -2.599594910630201E+08, -9.761917050201978E+07,  1.843367051849892E+00,  6.687260219768847E+00, -2.744994820555116E-01,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000,  4.465441012493221E+09, -2.593659843932560E+08, -9.764064861303118E+07,  1.500272154285518E+00,  7.037015901343750E+00, -2.213503037059437E-01,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000,  4.465553028627978E+09, -2.587462515335652E+08, -9.765723914273778E+07,  1.082202367377926E+00,  7.291244319510497E+00, -1.619399199154272E-01,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000,  4.465626588128923E+09, -2.581092615284868E+08, -9.766855576163296E+07,  6.146182190666933E-01,  7.434444733534866E+00, -9.989362356382570E-02,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000,  4.465658627621411E+09, -2.574650355884762E+08, -9.767453394744806E+07,  1.259995436150951E-01,  7.457886711878627E+00, -3.899727860537139E-02,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000,  4.465648612731936E+09, -2.568240360137215E+08, -9.767543490598935E+07, -3.538910989255153E-01,  7.360142477050921E+00,  1.703352597999741E-02,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000,  4.465598570683105E+09, -2.561965282221742E+08, -9.767182963044842E+07, -7.958232184737071E-01,  7.147173965349801E+00,  6.478003716399083E-02,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  4.465512966693249E+09, -2.555919547826419E+08, -9.766456407118119E+07, -1.172880747277463E+00,  6.831969292958926E+00,  1.013287990394329E-01,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000,  4.465398431717321E+09, -2.550183596217690E+08, -9.765470753975670E+07, -1.462103268542140E+00,  6.433750795167120E+00,  1.244493030986047E-01,
