JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.344601481340454E+09, -4.930070052366619E+08, -2.615508262476352E+08,  3.153932310901134E+00,  8.283282120269398E+00,  3.285573832689920E+00,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  1.344873765281996E+09, -4.922912505818180E+08, -2.612669107100029E+08,  3.148936466089551E+00,  8.285112250115846E+00,  3.286544931790093E+00,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  1.345145617520310E+09, -4.915753379120288E+08, -2.609829113114557E+08,  3.143939180855722E+00,  8.286939873469887E+00,  3.287515057495700E+00,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  1.345417037931000E+09, -4.908592674438975E+08, -2.606988281361146E+08,  3.138940456470807E+00,  8.288764989353608E+00,  3.288484209348375E+00,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000,  1.345688026389777E+09, -4.901430393941118E+08, -2.604146612681405E+08,  3.133940294206835E+00,  8.290587596789443E+00,  3.289452386889855E+00,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000,  1.345958582772465E+09, -4.894266539794438E+08, -2.601304107917334E+08,  3.128938695336700E+00,  8.292407694800170E+00,  3.290419589661977E+00,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000,  1.346228706954994E+09, -4.887101114167500E+08, -2.598460767911334E+08,  3.123935661134163E+00,  8.294225282408917E+00,  3.291385817206690E+00,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000,  1.346498398813408E+09, -4.879934119229712E+08, -2.595616593506199E+08,  3.118931192873855E+00,  8.296040358639157E+00,  3.292351069066047E+00,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000,  1.346767658223858E+09, -4.872765557151329E+08, -2.592771585545117E+08,  3.113925291831268E+00,  8.297852922514723E+00,  3.293315344782204E+00,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000,  1.347036485062609E+09, -4.865595430103446E+08, -2.589925744871676E+08,  3.108917959282766E+00,  8.299662973059794E+00,  3.294278643897427E+00,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000,  1.347304879206032E+09, -4.858423740258002E+08, -2.587079072329855E+08,  3.103909196505574E+00,  8.301470509298907E+00,  3.295240965954091E+00,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000,  1.347572840530611E+09, -4.851250489787778E+08, -2.584231568764032E+08,  3.098899004777784E+00,  8.303275530256958E+00,  3.296202310494678E+00,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000,  1.347840368912941E+09, -4.844075680866399E+08, -2.581383235018977E+08,  3.093887385378353E+00,  8.305078034959193E+00,  3.297162677061782E+00,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000,  1.348107464229724E+09, -4.836899315668331E+08, -2.578534071939857E+08,  3.088874339587101E+00,  8.306878022431230E+00,  3.298122065198106E+00,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  1.348374126357778E+09, -4.829721396368881E+08, -2.575684080372234E+08,  3.083859868684714E+00,  8.308675491699042E+00,  3.299080474446462E+00,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000,  1.348640355174027E+09, -4.822541925144199E+08, -2.572833261162065E+08,  3.078843973952739E+00,  8.310470441788965E+00,  3.300037904349777E+00,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000,  1.348906150555508E+09, -4.815360904171274E+08, -2.569981615155701E+08,  3.073826656673592E+00,  8.312262871727702E+00,  3.300994354451088E+00,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000,  1.349171512379368E+09, -4.808178335627937E+08, -2.567129143199888E+08,  3.068807918130545E+00,  8.314052780542326E+00,  3.301949824293548E+00,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000,  1.349436440522865E+09, -4.800994221692860E+08, -2.564275846141768E+08,  3.063787759607734E+00,  8.315840167260271E+00,  3.302904313420420E+00,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000,  1.349700934863369E+09, -4.793808564545555E+08, -2.561421724828875E+08,  3.058766182390162E+00,  8.317625030909355E+00,  3.303857821375086E+00,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000,  1.349964995278361E+09, -4.786621366366373E+08, -2.558566780109141E+08,  3.053743187763689E+00,  8.319407370517753E+00,  3.304810347701040E+00,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000,  1.350228621645431E+09, -4.779432629336504E+08, -2.555711012830888E+08,  3.048718777015038E+00,  8.321187185114026E+00,  3.305761891941895E+00,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000,  1.350491813842282E+09, -4.772242355637979E+08, -2.552854423842837E+08,  3.043692951431794E+00,  8.322964473727103E+00,  3.306712453641377E+00,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000,  1.350754571746728E+09, -4.765050547453666E+08, -2.549997013994099E+08,  3.038665712302401E+00,  8.324739235386293E+00,  3.307662032343333E+00,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000,  1.351016895236695E+09, -4.757857206967273E+08, -2.547138784134182E+08,  3.033637060916162E+00,  8.326511469121286E+00,  3.308610627591728E+00,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  1.351278784190218E+09, -4.750662336363346E+08, -2.544279735112987E+08,  3.028606998563244E+00,  8.328281173962154E+00,  3.309558238930645E+00,
