JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000,  1.836138718926769E+09,  2.106621323518811E+09,  8.966192157686862E+08, -6.933507094073330E+00,  4.620953798868459E+00,  2.346696882933535E+00,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000,  1.835528061291908E+09,  2.107003804511678E+09,  8.968156462300845E+08, -7.184749904382970E+00,  4.224257696634425E+00,  2.193929263477906E+00,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000,  1.834900382712044E+09,  2.107350165494742E+09,  8.969973692489933E+08, -7.325504736670064E+00,  3.789107199889457E+00,  2.007983170686746E+00,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000,  1.834265648838649E+09,  2.107658216504550E+09,  8.971619947065566E+08, -7.347240568495270E+00,  3.341976673178657E+00,  1.800171587943359E+00,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000,  1.833634251066438E+09,  2.107928098436489E+09,  8.973081728415781E+08, -7.248683639967957E+00,  2.910070968518352E+00,  1.583140762334109E+00,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000,  1.833016372911147E+09,  2.108162274453204E+09,  8.974356765531204E+08, -7.035895122774773E+00,  2.519666587998478E+00,  1.370099089762962E+00,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000,  1.832421369062843E+09,  2.108365379790925E+09,  8.975454152480080E+08, -6.721901535917499E+00,  2.194509453203856E+00,  1.174011722565654E+00,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000,  1.831857194977507E+09,  2.108543939121888E+09,  8.976393793888706E+08, -6.325900443848780E+00,  1.954366978746787E+00,  1.006810009068985E+00,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000,  1.831329921787980E+09,  2.108705968706878E+09,  8.977205191239498E+08, -5.872089870178700E+00,  1.813822738376076E+00,  8.786639701443008E-01,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000,  1.830843366112972E+09,  2.108860487596980E+09,  8.977925643993114E+08, -5.388192804385580E+00,  1.781387219871012E+00,  7.973621740844383E-01,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000,  1.830398857336830E+09,  2.109016967689373E+09,  8.978597975222663E+08, -4.903766770913963E+00,  1.858978891146079E+00,  7.678368224269158E-01,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000,  1.829995156550358E+09,  2.109184756170465E+09,  8.979267920441178E+08, -4.448401535996630E+00,  2.041807219976516E+00,  7.918630049909627E-01,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000,  1.829628532095350E+09,  2.109372505563356E+09,  8.979981338840728E+08, -4.049914848485962E+00,  2.318664780319497E+00,  8.679504622993502E-01,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000,  1.829292987106447E+09,  2.109587646132918E+09,  8.980781416990018E+08, -3.732656230814583E+00,  2.672610633816664E+00,  9.914344552558082E-01,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000,  1.828980625175775E+09,  2.109835932819034E+09,  8.981706035497267E+08, -3.516022247782679E+00,  3.082003316754681E+00,  1.154760201230897E+00,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000,  1.828682131843673E+09,  2.110121094324090E+09,  8.982785459208162E+08, -3.413273785838098E+00,  3.521820445282562E+00,  1.347943532839806E+00,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000,  1.828387342556243E+09,  2.110444605751882E+09,  8.984040491780881E+08, -3.430727460179451E+00,  3.965184474925505E+00,  1.559179690383995E+00,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000,  1.828085862458053E+09,  2.110805598661474E+09,  8.985481207164484E+08, -3.567370454285316E+00,  4.385001579986248E+00,  1.775563126350117E+00,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000,  1.827767700227643E+09,  2.111200914020537E+09,  8.987106335329725E+08, -3.814922277330394E+00,  4.755613720876044E+00,  1.983874431321631E+00,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000,  1.827423877307225E+09,  2.111625294829297E+09,  8.988903339707894E+08, -4.158339673786413E+00,  5.054363163257190E+00,  2.171386397871081E+00,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000,  1.827046975378303E+09,  2.112071706669704E+09,  8.990849181615742E+08, -4.576733897945640E+00,  5.262974051203797E+00,  2.326640072049038E+00,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000,  1.826631588700454E+09,  2.112531766634070E+09,  8.992911725055137E+08, -5.044644421833286E+00,  5.368666791864896E+00,  2.440143472117248E+00,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000,  1.826174653731566E+09,  2.112996254478923E+09,  8.995051696228611E+08, -5.533591411150855E+00,  5.364937301136812E+00,  2.504950369593792E+00,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000,  1.825675635930664E+09,  2.113455674836065E+09,  8.997225078287858E+08, -6.013812305811768E+00,  5.251953595230420E+00,  2.517083840982810E+00,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000,  1.825136562352890E+09,  2.113900836199565E+09,  8.999385795293453E+08, -6.456076615699357E+00,  5.036545545641126E+00,  2.475778763783551E+00,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  1.824561898049115E+09,  2.114323411384502E+09,  9.001488521729240E+08, -6.833468273026366E+00,  4.731788422222528E+00,  2.383528470391876E+00,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000,  1.823958273806837E+09,  2.114716445283044E+09,  9.003491446259036E+08, -7.123026860962904E+00,  4.356205618154014E+00,  2.245932715137090E+00,
2460337.500000000, A.D. 2024-Jan-28 00:00:00.0000,  1.823334081833546E+09,  2.115074778957025E+09,  9.005358821203370E+08, -7.307147643313114E+00,  3.932639171277498E+00,  2.071356224783145E+00,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000,  1.822698964036124E+09,  2.115395364207653E+09,  9.007063142279943E+08, -7.374655027324111E+00,  3.486856952658928E+00,  1.870418652647996E+00,
2460339.500000000, A.D. 2024-Jan-30 00:00:00.0000,  1.822063224098820E+09,  2.115677449441204E+09,  9.008586825696348E+08, -7.321484004382087E+00,  3.045981450153846E+00,  1.655347036791693E+00,
2460340.500000000, A.D. 2024-Jan-31 00:00:00.0000,  1.821437199208813E+09,  2.115922625497387E+09,  9.009923280333061E+08, -7.150928017210842E+00,  2.636835953142948E+00,  1.439230246648205E+00,
2460341.500000000, A.D. 2024-Feb-01 00:00:00.0000,  1.820830629738911E+09,  2.116134728645985E+09,  9.011077309639437E+08, -6.873438139673731E+00,  2.284308981132159E+00,  1.235220878807377E+00,
2460342.500000000, A.D. 2024-Feb-02 00:00:00.0000,  1.820252065321463E+09,  2.116319606666591E+09,  9.012064818736829E+08, -6.505985814349891E+00,  2.009836686477865E+00,  1.055733266983439E+00,
2460343.500000000, A.D. 2024-Feb-03 00:00:00.0000,  1.819708343528616E+09,  2.116484762274950E+09,  9.012911844588422E+08, -6.071028005465761E+00,  1.830095767932276E+00,  9.116865081470078E-01,
2460344.500000000, A.D. 2024-Feb-04 00:00:00.0000,  1.819204172946781E+09,  2.116638895638239E+09,  9.013652968371961E+08, -5.595137867801242E+00,  1.755986595639930E+00,  8.118386619012904E-01,
2460345.500000000, A.D. 2024-Feb-05 00:00:00.0000,  1.818741846067691E+09,  2.116791373874799E+09,  9.014329206862191E+08, -5.107384427618259E+00,  1.791968552343416E+00,  7.622527208224610E-01,
2460346.500000000, A.D. 2024-Feb-06 00:00:00.0000,  1.818321099502732E+09,  2.116951659885975E+09,  9.014985511397636E+08, -4.637560075849977E+00,  1.935788118894116E+00,  7.659269146453218E-01,
2460347.500000000, A.D. 2024-Feb-07 00:00:00.0000,  1.817939130044100E+09,  2.117128735347509E+09,  9.015668026934215E+08, -4.214363953556864E+00,  2.178616284268887E+00,  8.226118907890207E-01,
2460348.500000000, A.D. 2024-Feb-08 00:00:00.0000,  1.817590765593433E+09,  2.117330553044034E+09,  9.016421278317035E+08, -3.863651999159735E+00,  2.505586901407688E+00,  9.288259187848069E-01,
2460349.500000000, A.D. 2024-Feb-09 00:00:00.0000,  1.817268780535417E+09,  2.117563551941010E+09,  9.017285455339702E+08, -3.606860362205225E+00,  2.896703162198361E+00,  1.078067191503579E+00,
2460350.500000000, A.D. 2024-Feb-10 00:00:00.0000,  1.816964336326201E+09,  2.117832264562975E+09,  9.018293962136782E+08, -3.459698317257571E+00,  3.328056918578223E+00,  1.261210277947569E+00,
2460351.500000000, A.D. 2024-Feb-11 00:00:00.0000,  1.816667520431405E+09,  2.118139040618527E+09,  9.019471380337150E+08, -3.431190378527007E+00,  3.773286500682493E+00,  1.467062553583049E+00,
2460352.500000000, A.D. 2024-Feb-12 00:00:00.0000,  1.816367950751545E+09,  2.118483903724234E+09,  9.020831970176587E+08, -3.523126023053601E+00,  4.205184140423248E+00,  1.683046679433702E+00,
2460353.500000000, A.D. 2024-Feb-13 00:00:00.0000,  1.816055408679546E+09,  2.118864549963828E+09,  9.022378800965422E+08, -3.729950576011005E+00,  4.597354986573028E+00,  1.895967515231320E+00,
2460354.500000000, A.D. 2024-Feb-14 00:00:00.0000,  1.815720462189178E+09,  2.119276488370554E+09,  9.024103563931693E+08, -4.039103911484929E+00,  4.925826551594254E+00,  2.092816703486915E+00,
2460355.500000000, A.D. 2024-Feb-15 00:00:00.0000,  1.815355040961090E+09,  2.119713314766640E+09,  9.025987078851815E+08, -4.431786316178088E+00,  5.170510452919255E+00,  2.261565864331204E+00,
2460356.500000000, A.D. 2024-Feb-16 00:00:00.0000,  1.814952928477684E+09,  2.120167102262312E+09,  9.028000463576586E+08, -4.884104816895362E+00,  5.316427317848138E+00,  2.391900035440505E+00,
2460357.500000000, A.D. 2024-Feb-17 00:00:00.0000,  1.814510141080953E+09,  2.120628884603368E+09,  9.030106895139725E+08, -5.368530073583056E+00,  5.354620162518122E+00,  2.475846634967665E+00,
