JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460310.500000000, A.D. 2024-Jan-01 00:00:00.0000, -1.065743109261362E+08, -1.090523422882172E+07,  5.981462774819419E+06,  1.951863053841083E+00, -3.375883392985442E+01, -4.523522505154602E-01,
2460311.500000000, A.D. 2024-Jan-02 00:00:00.0000, -1.063749508369773E+08, -1.383492330699364E+07,  5.940875239026333E+06,  2.679686515347119E+00, -3.406379606037931E+01, -4.895381509036714E-01,
2460312.500000000, A.D. 2024-Jan-03 00:00:00.0000, -1.061081880559216E+08, -1.679206500524882E+07,  5.896451077188236E+06,  3.513986710323368E+00, -3.438972971848190E+01, -5.412592149222668E-01,
2460313.500000000, A.D. 2024-Jan-04 00:00:00.0000, -1.057644370127155E+08, -1.977724869234326E+07,  5.846923002311522E+06,  4.462519817111852E+00, -3.470798803668921E+01, -6.076241343963051E-01,
2460314.500000000, A.D. 2024-Jan-05 00:00:00.0000, -1.053337531125953E+08, -2.278852468975944E+07,  5.791054741511382E+06,  5.525790131297865E+00, -3.498874566646438E+01, -6.878095404121343E-01,
2460315.500000000, A.D. 2024-Jan-06 00:00:00.0000, -1.048064658661780E+08, -2.582138131356052E+07,  5.727719910235871E+06,  6.696973032083885E+00, -3.520282724018912E+01, -7.801076733756602E-01,
2460316.500000000, A.D. 2024-Jan-07 00:00:00.0000, -1.041737992893469E+08, -2.886887904337557E+07,  5.655974403375921E+06,  7.962285191778993E+00, -3.532349751352514E+01, -8.820280181186497E-01,
2460317.500000000, A.D. 2024-Jan-08 00:00:00.0000, -1.034284417113158E+08, -3.192193375033054E+07,  5.575117885733202E+06,  9.301779492152624E+00, -3.532810401853396E+01, -9.904467087428017E-01,
2460318.500000000, A.D. 2024-Jan-09 00:00:00.0000, -1.025650302107154E+08, -3.496973182547660E+07,  5.484740628825190E+06,  1.069051621394251E+01, -3.519947205013261E+01, -1.101794595043653E+00,
2460319.500000000, A.D. 2024-Jan-10 00:00:00.0000, -1.015805201020046E+08, -3.800025200615244E+07,  5.384752834361352E+06,  1.210003912157185E+01, -3.492696690905550E+01, -1.212272504880241E+00,
2460320.500000000, A.D. 2024-Jan-11 00:00:00.0000, -1.004744169005543E+08, -4.100086219026376E+07,  5.275394652455166E+06,  1.350006647320656E+01, -3.450715861278811E+01, -1.318080578508090E+00,
2460321.500000000, A.D. 2024-Jan-12 00:00:00.0000, -9.924885657718021E+07, -4.395895495447068E+07,  5.157226279635992E+06,  1.486029388040748E+01, -3.394404852465428E+01, -1.415647692790621E+00,
2460322.500000000, A.D. 2024-Jan-13 00:00:00.0000, -9.790852916058637E+07, -4.686258313061565E+07,  5.031098736226536E+06,  1.615219912061253E+01, -3.324884406285717E+01, -1.501846987658137E+00,
2460323.500000000, A.D. 2024-Jan-14 00:00:00.0000, -9.646045029526244E+07, -4.970105678949565E+07,  4.898107100594962E+06,  1.735073888596333E+01, -3.243929520649147E+01, -1.574184354586215E+00,
2460324.500000000, A.D. 2024-Jan-15 00:00:00.0000, -9.491359463055515E+07, -5.246546533245182E+07,  4.759529047362732E+06,  1.843583404047401E+01, -3.153863323400439E+01, -1.630948395390469E+00,
2460325.500000000, A.D. 2024-Jan-16 00:00:00.0000, -9.327841333881807E+07, -5.514909295602300E+07,  4.616752432613336E+06,  1.939355285248953E+01, -3.057417638369877E+01, -1.671312709068859E+00,
2460326.500000000, A.D. 2024-Jan-17 00:00:00.0000, -9.156626512315193E+07, -5.774770225461805E+07,  4.471196336886220E+06,  2.021692008484196E+01, -2.957568743403048E+01, -1.695384271100362E+00,
2460327.500000000, A.D. 2024-Jan-18 00:00:00.0000, -8.978879534766255E+07, -6.025966876452498E+07,  4.324230375534847E+06,  2.090630263784891E+01, -2.857358332787107E+01, -1.704194956650690E+00,
2460328.500000000, A.D. 2024-Jan-19 00:00:00.0000, -8.795730108386520E+07, -6.268595833946998E+07,  4.177097191555213E+06,  2.146934825945890E+01, -2.759710598584822E+01, -1.699636725918072E+00,
2460329.500000000, A.D. 2024-Jan-20 00:00:00.0000, -8.608212072316028E+07, -6.502994882926247E+07,  4.030842851824485E+06,  2.192048108803064E+01, -2.667256581969096E+01, -1.684344425034190E+00,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000, -8.417208530496307E+07, -6.729710702460007E+07,  3.886259385663442E+06,  2.227998481481116E+01, -2.582176502287187E+01, -1.661533350055306E+00,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000, -8.223406494458137E+07, -6.949454065410271E+07,  3.743842964145474E+06,  2.257272939746832E+01, -2.506069675312123E+01, -1.634801479871452E+00,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000, -8.027263794391021E+07, -7.163045283612058E+07,  3.603770264770113E+06,  2.282661898987628E+01, -2.439859949805851E+01, -1.607908438141477E+00,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000, -7.828990268515803E+07, -7.371353233338135E+07,  3.465894457159366E+06,  2.307085575145121E+01, -2.383742425702240E+01, -1.584544663261910E+00,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000, -7.628544369943295E+07, -7.575231687059988E+07,  3.329761048941351E+06,  2.333412542528508E+01, -2.337174699986407E+01, -1.568104862389223E+00,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000, -7.425645389907770E+07, -7.775456841522193E+07,  3.194642619912576E+06,  2.364281534359469E+01, -2.298913171184187E+01, -1.561479564250204E+00,
